label,channel_mode,feature_mode,task_mode,is_sig_session,best_abs_r,mean_abs_r,n_stage1,n_stage2,rep_band,rep_metric,rep_quantum_state,rep_r,rep_abs_r,rep_p,rep_q_fdr
P1,4ch,60corr,26task,1,0.7624389700111713,0.20065515357773336,6,6,Delta,peak,p00,0.7624389700111713,0.7624389700111713,5.976299513512731e-06,3.585779708107639e-05
P10,4ch,60corr,26task,1,0.4093288963580651,0.1335682657671108,2,2,Delta,stability,p00,-0.4093288963580651,0.4093288963580651,0.037847615894042466,0.04540407822570717
P11,4ch,60corr,26task,1,0.441707279127729,0.16564491503041617,2,2,Alpha,mean,p00,-0.441707279127729,0.441707279127729,0.023875647194219127,0.046459849385214746
P12,4ch,60corr,26task,0,0.24381994558613407,0.15412914896102323,0,0,Beta,mean,p00,-0.24381994558613407,0.24381994558613407,0.23001603754121647,
P13,4ch,60corr,26task,0,0.3445917538893572,0.1234918750662699,0,0,Delta,peak,p10,0.3445917538893572,0.3445917538893572,0.08472282224063042,
P14,4ch,60corr,26task,1,0.421894949385236,0.1747326340265999,1,1,Gamma,mean,p10,0.421894949385236,0.421894949385236,0.03180723442231034,0.03180723442231034
P15,4ch,60corr,26task,0,0.3559802805164352,0.17039225915782064,0,0,Theta,stability,p11,-0.3559802805164352,0.3559802805164352,0.07428225244920364,
P16,4ch,60corr,26task,0,0.3428223919787299,0.18110865253340175,0,0,Theta,stability,p01,0.3428223919787299,0.3428223919787299,0.08643981210790114,
P17,4ch,60corr,26task,1,0.4434573762178077,0.18058642127494506,3,3,Beta,mean,p00,-0.4434573762178077,0.4434573762178077,0.023260292025843357,0.043483115985137134
P18,4ch,60corr,26task,0,0.330142007687943,0.14801750745564995,0,0,Gamma,mean,p11,0.330142007687943,0.330142007687943,0.09952382418857061,
P19,4ch,60corr,26task,1,0.48002871624834387,0.15561222965698196,5,5,Gamma,mean,p11,0.48002871624834387,0.48002871624834387,0.0130717814853425,0.03959278918981942
P2,4ch,60corr,26task,1,0.4189312487159363,0.14605504747580716,1,1,Beta,mean,p11,0.4189312487159363,0.4189312487159363,0.03315693349469244,0.03315693349469244
P20,4ch,60corr,26task,1,0.4566463089303923,0.14415473494720807,2,2,Gamma,stability,p01,0.4566463089303923,0.4566463089303923,0.019025374645786367,0.03628237863247526
P21,4ch,60corr,26task,1,0.4090354510442772,0.13885454979403136,2,2,Delta,peak,p10,-0.4090354510442772,0.4090354510442772,0.037998859991020234,0.04120411373893198
P22,4ch,60corr,26task,0,0.28050112324699705,0.08793807614419663,0,0,Gamma,mean,p01,0.28050112324699705,0.28050112324699705,0.1651405538226835,
P23,4ch,60corr,26task,1,0.4004600333633834,0.11107614840893067,1,1,Delta,mean,p11,0.4004600333633834,0.4004600333633834,0.04263518488090026,0.04263518488090026
P24,4ch,60corr,26task,0,0.383414559491153,0.1333327158489995,0,0,Beta,peak,p01,-0.383414559491153,0.383414559491153,0.05317273754585167,
P25,4ch,60corr,26task,1,0.522894343230009,0.15997581574793865,4,4,Delta,peak,p00,-0.522894343230009,0.522894343230009,0.006129111182849279,0.021074283689729075
P26,4ch,60corr,26task,1,0.46372709791002,0.1624110002390339,1,1,Alpha,mean,p10,-0.46372709791002,0.46372709791002,0.01702603256264914,0.01702603256264914
P3,4ch,60corr,26task,1,0.43355627509828554,0.12883479051074173,1,1,Gamma,mean,p01,-0.43355627509828554,0.43355627509828554,0.02691799776775999,0.02691799776775999
P4,4ch,60corr,26task,1,0.5203675513444773,0.19844646605543972,8,8,Delta,stability,p10,-0.5203675513444773,0.5203675513444773,0.006426217350608405,0.01810633526905437
P5,4ch,60corr,26task,1,0.42215797419365675,0.16342180347434843,2,2,Alpha,stability,p10,-0.42215797419365675,0.42215797419365675,0.03168961152342224,0.03941670823251937
P6,4ch,60corr,26task,0,0.23721426679432606,0.09452134237511262,0,0,Theta,stability,p01,-0.23721426679432606,0.23721426679432606,0.2432830469032201,
P7,4ch,60corr,26task,0,0.27159565991356593,0.11261328142001292,0,0,Delta,stability,p00,-0.27159565991356593,0.27159565991356593,0.17954661686188927,
P8,4ch,60corr,26task,1,0.46604597113690927,0.14646160765504648,3,3,Beta,mean,p11,-0.46604597113690927,0.46604597113690927,0.016410060588272442,0.04376858193904467
P9,4ch,60corr,26task,1,0.5458278521826707,0.2069872513934527,9,9,Theta,mean,p10,0.5458278521826707,0.5458278521826707,0.003922205689687212,0.014844423509779325
